ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_Original,Age,Total_Spending,Income_Bin,Income_scaled,Recency_scaled,Age_scaled,Total_Spending_scaled,PCA1,PCA2
2278,1985,0,4,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2n Cycle,41,133,1,-0.7360860385528838,1.2740240792711075,-1.351612027415936,-0.785229296844643,-1.3608872074467229,0.9782608519067441
9360,1982,2,3,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,Graduation,44,316,1,-0.6071329885850866,-0.2800586603734455,-1.1012238034535626,-0.48130056576924835,-1.0362628808793402,-0.4797993806660809
5376,1979,2,3,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,Graduation,47,1730,1,-1.9890638614277167,-0.24552348838134433,-0.8508355794911895,1.8670886459280636,-0.3273463332479603,-0.41465428861256154
1993,1949,4,3,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,PhD,77,972,1,0.2544315803912094,0.47971512345278045,1.6530466601325426,0.6081925904354452,1.02804190404217,0.8315807038712595
4047,1954,4,3,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,PhD,72,544,1,0.522764181578847,-1.696000712049594,1.2357329535285873,-0.1026352614785927,0.5725717451042756,-1.34828370803342
1409,1951,2,5,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,Graduation,75,444,1,-0.4613617124597792,0.6869261554053875,1.4861211774909606,-0.2687165352902838,-0.09708927614827305,1.089939086040911
7892,1969,2,4,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,Graduation,57,75,1,-1.344218715027412,1.3776295952474111,-0.016208166283278792,-0.8815564356554239,-1.4943267584572217,1.4692402018328266
2404,1976,2,3,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,Graduation,50,257,1,0.044783003491890926,-1.557860024081189,-0.6004473555288163,-0.5792885173181461,-0.5535020707026925,-1.6232876728200885
5255,1986,2,4,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,Graduation,40,637,1,-0.0342147215116156,-1.0398324441996714,-1.4350747687367271,0.05182032316628,-0.38517968888826326,-1.3681713840278098
9422,1989,2,3,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,Graduation,37,131,1,-0.5544012581149836,-0.7980862402549632,-1.6854629926991003,-0.7885509223208769,-1.3720729240522265,-1.1142277747798897
1966,1965,4,3,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,PhD,61,1672,1,1.293526308616852,1.6193757991921194,0.3176427989998855,1.7707615071172826,2.2087377079064643,1.4454185865465814
6864,1989,3,2,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,Master,37,30,1,-1.6482251308436877,-0.5218048643181538,-1.6854629926991003,-0.9562930088706849,-2.231056446060489,-0.7592670391278058
3033,1963,3,5,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Master,63,318,1,-0.5440147051435997,0.2379689195080722,0.48456828164146765,-0.4779789402930145,-0.5664477724200169,0.4195532542369361
5710,1970,2,5,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,Graduation,56,120,1,-0.466994420032722,-0.6254103802944573,-0.09967090760406987,-0.8068198624401629,-0.9080315646872638,-0.5477660800841633
7373,1952,4,2,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,PhD,74,302,1,-0.22482794267684006,-1.4197193361127844,1.4026584361701695,-0.5045519441028851,-0.16391483730742754,-0.9625910819159429
8755,1946,3,3,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,Master,80,1196,1,0.655911801015857,-1.557860024081189,1.9034348840949158,0.9802146437736331,1.5751272736733082,-1.1154423378457512
10738,1951,3,4,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,Master,75,65,1,-0.11381167072500967,0.20343374751597101,1.4861211774909606,-0.898164563036593,-0.2960873160001799,0.634934788263479
4339,1970,4,3,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,PhD,56,913,1,0.6038192430363007,-0.4181993483418502,-0.09967090760406987,0.5102046388865474,0.725419173118682,-0.5007182433185269
10755,1976,0,3,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2n Cycle,50,81,1,-1.1393239835265347,0.9286723593500957,-0.6004473555288163,-0.8715915592267224,-1.5089281912359414,0.8722802285505513
8595,1973,2,6,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Graduation,53,67,1,-0.39185170411282527,1.7229813151684228,-0.3500591315664431,-0.8948429375603592,-0.9280431336384101,1.6476291078350649
2968,1943,4,2,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,PhD,83,902,1,-0.13142886249570315,0.13436340353176865,2.153823108057289,0.49193569876726134,0.8065418060336625,0.6619796401168306
8601,1980,2,3,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,Graduation,46,1395,1,1.1094845796200608,-1.5923951960732903,-0.9342983208119806,1.3107163786588985,1.3719775479472993,-1.9262083540528232
503,1985,3,3,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Master,41,53,1,-1.2655206021288494,1.34309442325531,-1.351612027415936,-0.9180943158939959,-1.813158257435585,1.0907692570065708
8430,1957,2,5,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,Graduation,69,22,1,-1.208194819382942,-1.557860024081189,0.9853447295662141,-0.9695795107756201,-1.266528264971481,-1.1044232798251397
7281,1959,4,4,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,PhD,67,186,1,-0.0342147215116156,1.0668130473185005,0.818419246924632,-0.6972062217244468,-0.259251872039156,1.2778569997475024
2139,1975,3,3,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,Master,51,31,1,-1.7872051992569362,-1.0398324441996714,-0.5169846142080252,-0.954632196132568,-2.03322089249945,-0.9488840382470702
1371,1976,2,4,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,Graduation,50,984,1,1.1066881999739189,0.790531671381691,-0.6004473555288163,0.6281223432928481,1.047984911523832,0.4911316530197529
9909,1996,0,3,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2n Cycle,30,122,1,-1.7872051992569362,-0.8671565842391655,-2.2697021819446377,-0.8034982369639291,-2.3827125412452874,-1.2395687442746972
7286,1968,2,5,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,Graduation,58,55,1,-0.4198554488549027,1.4812351112237145,0.06725457503751228,-0.9147726904177621,-0.8577269903487449,1.5248949059789583
7244,1951,2,4,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,Graduation,75,124,1,-0.0342147215116156,1.6193757991921194,1.4861211774909606,-0.8001766114876953,-0.14289290194254003,1.986212229213926
6566,1954,4,3,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,PhD,72,1319,1,0.8114304576220015,-0.3491290043576479,1.2357329535285873,1.184494610562013,1.6741961438369426,-0.14588994468928781
8614,1957,2,6,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,Graduation,69,507,1,0.5292358030456323,-0.6944807242786596,0.9853447295662141,-0.1640853327889184,0.49290094625497416,-0.44553148585852215
4114,1964,3,3,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,Master,62,1693,1,1.0748094720079022,-1.6269303680653915,0.4011055403206766,1.805638574617738,2.030320387722318,-1.6433136329087183
1331,1977,2,4,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Graduation,49,72,1,-0.6570683394090477,0.16889857552386983,-0.6839100968496074,-0.8865388738697746,-1.2266514521782048,0.08552333789722702
2225,1977,2,2,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,Graduation,49,1617,1,1.212191609194784,0.16889857552386983,-0.6839100968496074,1.6794168065208526,1.7975660930772004,-0.19552253117584642
9381,1978,2,3,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,Graduation,48,606,1,0.5646699279903151,0.27250409150017335,-0.7673728381703985,0.00033512828465576616,0.1947498990241795,0.02484385286269138
6260,1955,3,5,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,Master,71,1957,1,1.2042818496242687,0.20343374751597101,1.1522702122077961,2.2440931374806024,2.6534149480182716,0.2760412623780486
10383,1966,2,2,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,Graduation,60,1093,1,0.7210274984903022,-0.6599455522865585,0.23418005767909442,0.8091509317475913,1.0900216601536872,-0.6733890322415216
7437,1988,2,4,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,Graduation,38,29,1,-0.970742239144842,-0.6254103802944573,-1.6020002513783091,-0.9579538216088017,-1.7473662607839349,-0.8868339928197114
8557,1982,2,4,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,Graduation,44,46,1,-0.0342147215116156,0.27250409150017335,-1.1012238034535626,-0.9297200050608143,-0.9342092011470491,0.03559437622856036
8375,1968,4,3,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,PhD,58,518,1,0.14844879180243425,0.47971512345278045,0.06725457503751228,-0.1458163926696324,0.03146721930892818,0.4762845940599261
6853,1982,3,4,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,Master,44,1438,1,0.9403435593091396,-1.2815786481443796,-1.1012238034535626,1.3821313263979256,1.2678189397383783,-1.6615219530522687
3076,1975,2,5,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,Graduation,51,612,1,0.5758554465748824,-1.0743676161917726,-0.5169846142080252,0.01030000471335723,0.2438194147111169,-1.208627318418551
1012,1952,2,4,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,Graduation,74,884,1,0.3829052509910966,-0.7980862402549632,1.4026584361701695,0.462041069481157,0.923140932788496,-0.4632257978090406
6518,1951,4,6,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,PhD,75,606,1,0.616882330811849,-1.4197193361127844,1.4861211774909606,0.00033512828465576616,0.7784409673004883,-1.0310326301739796
4137,1948,2,5,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,Graduation,78,1076,1,0.7361678968601273,-0.6944807242786596,1.7365094014533338,0.7809171151996038,1.4712553658736012,-0.32185915368715184
8082,1971,2,3,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,Graduation,55,34,1,-1.0593075773662195,0.8941371873579945,-0.18313364892486095,-0.9496497579182173,-1.3991232632345134,0.9443753784362113
1386,1967,2,5,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Graduation,59,11,1,-0.7895368380748519,-1.696000712049594,0.15071731635830335,-0.9878484508949061,-1.211500744754471,-1.4802811819765949
9369,1979,0,4,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2n Cycle,47,1274,1,1.43638136025404,-1.0398324441996714,-0.8508355794911895,1.1097580373467522,1.4945182060646616,-1.3855453674687368
4477,1958,2,5,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,Graduation,68,653,1,0.6734490962252321,-1.557860024081189,0.901881988245423,0.07839332697615058,0.7151454828831786,-1.3219365043654543
1357,1970,2,5,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,Graduation,56,1562,1,0.9034712962607268,1.4121647672395123,-0.09967090760406987,1.5880721059244225,1.7036388342674857,1.1779822568933325
1402,1954,3,3,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,Master,72,1253,1,0.5893579654376816,-1.6614655400574927,1.2357329535285873,1.074880969846297,1.4175789267208097,-1.386438251363679
10629,1973,0,3,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2n Cycle,53,109,1,-0.0342147215116156,-0.8326214122470643,-0.3500591315664431,-0.8250888025594489,-0.6929041277169125,-0.8416818450795924
6312,1959,2,3,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,Graduation,67,863,1,0.5110593353457105,-0.6944807242786596,0.818419246924632,0.42716400198070187,0.8379212046177467,-0.5203172864136334
8132,1975,4,3,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,PhD,51,661,1,0.33528690044536724,1.34309442325531,-0.5169846142080252,0.09167982888108586,0.18846611175025935,1.1306855428458082
1050,1952,2,3,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,Graduation,74,65,1,-0.9550026165651294,0.30703926349227456,1.4026584361701695,-0.898164563036593,-0.8933766576176524,0.7745100171671405
5846,1977,2,2,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,Graduation,49,13,1,-0.47905880079179103,0.6523909834132863,-0.6839100968496074,-0.9845268254186723,-1.1598500932640905,0.5433861421470766
1859,1972,3,3,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,Master,54,1890,1,0.9193307636824167,-0.5218048643181538,-0.266596390245652,2.1328186840267693,1.9967159963420626,-0.7577755092155054
7503,1976,2,4,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,Graduation,50,2209,1,0.9422610767807797,-0.31459383236554667,-0.6004473555288163,2.662617947486064,2.2895832253143857,-0.6753711308554446
10401,1976,0,5,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2n Cycle,50,18,1,-1.0351388675674222,-1.2815786481443796,-0.6004473555288163,-0.9762227617280878,-1.5583494989224267,-1.2563868906477558
1618,1965,2,5,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,Graduation,61,692,1,0.1521240336230778,-1.3851841641206832,0.3176427989998855,0.1431650237627101,0.25284746574324146,-1.2709224472627054
3332,1985,2,4,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,Graduation,41,165,1,-0.8979564717838363,1.3085592512632087,-1.351612027415936,-0.7320832892249018,-1.4352773617392527,1.0202725507004617
2261,1969,2,3,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Graduation,57,16,1,-1.036017729741924,-1.5233248520890879,-0.016208166283278792,-0.9795443872043216,-1.4147180076530463,-1.339337004216418
5346,1973,0,3,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2n Cycle,53,79,1,-1.1456757601513428,1.3085592512632087,-0.3500591315664431,-0.8749131847029562,-1.4418156680671177,1.3025529980512167
4119,1963,3,5,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Master,63,318,1,-0.5440147051435997,0.2379689195080722,0.48456828164146765,-0.4779789402930145,-0.5664477724200169,0.4195532542369361
535,1987,2,2,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,Graduation,39,778,1,1.1634147585099388,-1.0743676161917726,-1.518537510057518,0.2859949192407644,0.5739349725157842,-1.5231490996303028
5268,1960,2,3,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,Graduation,66,56,1,-0.9107399215947704,1.5848406272000182,0.7349565056038408,-0.9131118776796452,-1.0178382123506642,1.8310168104010685
273,1970,3,3,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,Master,56,151,1,-0.6431663377396569,-0.03831245642873724,-0.09967090760406987,-0.7553346675585386,-0.9808611050283994,0.027129680104995273
4452,1957,2,4,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,Graduation,69,372,1,-0.07390333834649991,-1.5923951960732903,0.9853447295662141,-0.38829505243470136,-0.09384514034257824,-1.2530584132186549
8504,1973,2,3,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,Graduation,53,1366,1,1.0927861983045282,0.7214613273974887,-0.3500591315664431,1.2625528092535079,1.5322031114600445,0.4538677279746083
771,1967,2,5,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,Graduation,59,194,1,0.07750064535175026,1.0322778753263993,0.15071731635830335,-0.6839197198195115,-0.34794281155701934,1.0649544297225233
8996,1957,4,3,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,PhD,69,603,1,-0.0342147215116156,-1.557860024081189,0.9853447295662141,-0.0046473099296949665,0.19435558573588851,-1.244392763078641
9235,1957,2,4,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Graduation,69,18,1,-0.0342147215116156,-0.14191797240504078,0.9853447295662141,-0.9762227617280878,-0.43240602836407277,0.17311941554625054
5798,1973,3,5,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,Master,53,985,1,-0.0342147215116156,1.3085592512632087,-0.3500591315664431,0.6297831560309649,0.3421291845774013,1.1366310982445642
11178,1972,3,4,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Master,54,32,1,-0.3932498939358962,0.6869261554053875,-0.266596390245652,-0.9529713833944511,-0.9701725328357188,0.675334048337892
2230,1970,4,3,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,PhD,56,43,1,-1.1429992253471783,1.204953735286905,-0.09967090760406987,-0.934702443275165,-1.4177394158741634,1.2700790306451069
7516,1983,2,3,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,Graduation,43,45,1,-0.8845338494823555,-0.6599455522865585,-1.1846865447743538,-0.9313808177989312,-1.5623568818209324,-0.8211022701678253
7247,1960,2,6,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,Graduation,66,606,1,-0.17265548813596546,0.790531671381691,0.7349565056038408,0.00033512828465576616,0.0906719303553064,0.9612908955018423
11100,1972,2,2,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Graduation,54,63,1,-0.016977038407184217,-0.4181993483418502,-0.266596390245652,-0.9014861885128268,-0.7017731260266832,-0.4184587141989077
4646,1951,0,3,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,2n Cycle,75,978,1,1.049002882702079,-0.17645314439714196,1.4861211774909606,0.6181574668641466,1.522420223543494,0.09904079208806044
